Permit Type,Initiating Office,Issue Datw,Valuation,# of Residential Units,Zone,Latitude,Longitude
Bldg-New,SOUTH LA,5/23/2018,162731,1,[Q]R3-1,34.17588,-118.38025
Bldg-New,VAN NUYS,1/26/2018,620000,1,RE11-1-RFA-RIO,34.14313,-118.38494
Bldg-New,SANPEDRO,5/22/2017,246000,1,R1-1XL,33.73366,-118.3079
Bldg-New,METRO,5/24/2019,185000,1,R1-1,33.94217,-118.22954
Bldg-New,SOUTH LA,5/6/2019,197500,1,RD1.5-1,34.03013,-118.36069
Bldg-New,VAN NUYS,6/22/2020,684000,1,R1-1,34.06624,-118.47781
Bldg-New,METRO,11/2/2020,300000,1,R2-1,34.03756,-118.44764
Bldg-New,METRO,9/20/2017,725365,1,(T)(Q)RA-1-H,34.269,-118.56483
Bldg-New,VAN NUYS,12/2/2019,201000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-New,VAN NUYS,6/24/2020,137000,1,[Q]R4-1VL,34.10554,-118.33227
Bldg-New,METRO,11/12/2014,5500000,1,RE20-1-H,34.09107,-118.45223
Bldg-New,METRO,5/25/2017,450000,1,R1-1,33.98864,-118.42407
Bldg-New,VAN NUYS,11/26/2018,345000,1,R1-1,34.16934,-118.62043
Bldg-New,VAN NUYS,12/2/2019,203000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-New,METRO,6/13/2016,870000,1,R1-1,34.05319,-118.52005
Bldg-New,WEST LA,10/20/2017,875000,1,R1V2,34.01,-118.4306
Bldg-New,VAN NUYS,12/2/2019,203000,1,(T)(Q)RD3-1,34.19833,-118.63216
Bldg-New,VAN NUYS,8/3/2017,500000,1,RA-1-H,34.2918,-118.5134
Bldg-New,VAN NUYS,6/13/2019,820000,1,[T]RE-1,34.28475,-118.57846
Bldg-New,VAN NUYS,6/24/2020,139000,1,[Q]R4-1VL,34.10554,-118.33227
Bldg-Alter/Repair,WEST LA,4/20/2017,12000,1,RE9-1,34.10155,-118.36736
Bldg-New,WEST LA,12/19/2019,300000,1,R1V2,34.00907,-118.42058
Bldg-New,METRO,11/12/2019,175000,1,[Q]C2-1,33.94351,-118.27372
Bldg-New,VAN NUYS,2/18/2020,550000,1,[T]RE-1,34.29715,-118.58123
Bldg-New,VAN NUYS,4/17/2019,168000,1,RD3-1XL,34.31757,-118.44483
Bldg-New,VAN NUYS,5/10/2018,400000,1,R1-1,34.15565,-118.37685
Bldg-New,VAN NUYS,11/2/2020,556000,1,R2-1XL,34.08586,-118.36815
Bldg-New,METRO,7/3/2017,204880,1,[Q]R1-1D,34.06672,-118.1771
Bldg-Addition,VAN NUYS,12/23/2015,87000,1,RA-1,34.30526,-118.47436
Bldg-New,SANPEDRO,11/5/2020,300000,1,RD1.5-1XL,34.09625,-118.33927
Bldg-New,METRO,2/9/2018,580000,1,R1-1-O,34.05301,-118.3974
Bldg-New,WEST LA,2/28/2019,594000,1,R1V2,34.00139,-118.44851
Bldg-New,METRO,3/8/2018,185000,1,[Q]R3-1,34.16295,-118.36857
Bldg-New,METRO,1/27/2017,200000,1,R1-1,34.10213,-118.21001
Bldg-New,VAN NUYS,6/12/2017,400000,1,RS-1,34.06852,-118.48802
Bldg-New,VAN NUYS,11/5/2020,1150000,1,RE15-1-HCR,34.1027,-118.4452
Bldg-New,VAN NUYS,5/8/2018,480000,1,R1-1-RFA-RIO,34.13827,-118.39683
Bldg-New,WEST LA,7/5/2019,525000,1,R1V2,34.03357,-118.40507
Bldg-New,METRO,11/5/2020,112000,1,RD1.5-1,34.02735,-118.36201
Bldg-New,VAN NUYS,1/28/2020,790000,1,[T]RE-1,34.28422,-118.57679
Bldg-New,METRO,2/12/2018,450000,1,R1-1-O,34.04799,-118.41778
Bldg-New,METRO,11/8/2017,212222,1,RD1.5-1,34.12281,-118.21902
Bldg-New,METRO,5/22/2019,500000,1,[Q]R4-1,34.01477,-118.30149
Bldg-New,VAN NUYS,1/16/2019,739118,1,RA-1,34.16544,-118.54024
Bldg-New,METRO,11/8/2017,212222,1,RD1.5-1,34.12281,-118.21902
Bldg-New,VAN NUYS,2/3/2020,612000,1,R1-1,34.13585,-118.39517
Bldg-New,METRO,3/8/2018,185000,1,[Q]R3-1,34.1628,-118.36843
Bldg-New,SOUTH LA,2/7/2020,150000,1,R3-1,34.07731,-118.29804
Bldg-New,SOUTH LA,12/12/2018,186650,1,R2-1VL-RIO,34.10161,-118.24683
Bldg-New,METRO,2/4/2020,799700,1,RW1-1-O,33.98391,-118.46737
Bldg-New,METRO,5/22/2019,500000,1,[Q]R4-1,34.01477,-118.30149
Bldg-New,METRO,11/8/2017,212222,1,RD1.5-1,34.12281,-118.21902
Bldg-New,METRO,1/11/2018,1600000,1,R1-1,34.10519,-118.38198
Bldg-New,METRO,11/14/2017,350000,1,R1-1,34.13492,-118.18737
Bldg-New,VAN NUYS,8/12/2016,815000,1,R1-1VLD,34.0038,-118.45754
Bldg-New,METRO,2/5/2020,1072703,1,RE20-1-H-HCR,34.10086,-118.42094
Bldg-New,VAN NUYS,4/18/2017,840000,1,R1-1,34.05046,-118.53587
Bldg-New,METRO,2/6/2020,780000,1,RE9-1,34.0436,-118.47255
Bldg-New,VAN NUYS,11/23/2016,280000,1,R1-1,34.19317,-118.43822
Bldg-New,VAN NUYS,10/5/2018,421271,1,R1-1,34.14634,-118.42837
Bldg-New,VAN NUYS,7/11/2019,291283.4,1,R1-1,33.99222,-118.43489
Bldg-New,SOUTH LA,12/12/2018,136750,1,R2-1VL-RIO,34.1017,-118.24684
Bldg-New,VAN NUYS,1/5/2018,516000,1,R1-1-O,34.04293,-118.41944
Bldg-New,METRO,3/8/2018,175000,1,[Q]R3-1,34.16305,-118.36843
Bldg-New,VAN NUYS,9/27/2018,1300000,1,RA-1,34.15453,-118.55391
